,Winner,Team_1_Position,Team_2_Position,Team_1_Afghanistan,Team_1_Australia,Team_1_Bangladesh,Team_1_England,Team_1_India,Team_1_Netherlands,Team_1_New Zealand,Team_1_Pakistan,Team_1_South Africa,Team_1_Sri Lanka,Team_2_Afghanistan,Team_2_Australia,Team_2_Bangladesh,Team_2_England,Team_2_India,Team_2_Netherlands,Team_2_New Zealand,Team_2_Pakistan,Team_2_South Africa,Team_2_Sri Lanka
0,New Zealand ,6,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,Bangladesh ,8,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2,South Africa,3,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
3,England,6,2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6,New Zealand,5,2,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
7,Australia,2,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
8,India,1,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9,New Zealand,5,8,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
10,England ,1,6,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
12,South Africa ,3,7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
13,South Africa ,3,7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
14,South Africa ,5,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
15,New Zealand ,8,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
17,India ,8,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
19,India ,7,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
20,India ,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
21,India ,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
22,India ,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
24,Australia,2,6,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
25,England,5,6,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
26,South Africa,7,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
27,Sri Lanka,7,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
28,England,7,6,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
30,New Zealand,5,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
32,New Zealand,5,8,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
36,New Zealand,5,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
37,India,9,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
38,England,6,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
39,England,6,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
40,South Africa,2,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
41,England,6,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
42,Sri Lanka,7,8,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
43,Sri Lanka,7,8,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
44,Sri Lanka,7,8,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
47,India,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
48,India,1,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
49,South Africa,3,6,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
50,New Zealand,5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
51,New Zealand,5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
52,England,3,6,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
53,New Zealand,5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
54,South Africa,3,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
55,South Africa,3,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
56,South Africa,3,2,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
57,Australia,2,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
